Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR5181310_1	98.85709167841723	38.0	220.45409416542245	221	30.0	915559.0
ERR5181310_2	98.59592144435788	38.0	200.62389015446618	201	40.0	912627.0
ERR5405022_1	81.90618595238402	38.0	137.9143904922724	147	30.0	155158.0
ERR5405022_2	81.3400100927759	38.0	137.89712485281368	147	20.0	154566.0
ERR5556343_1	98.35035891772502	38.0	219.58566169703664	221	40.0	217320.0
ERR5556343_2	97.53447401189872	39.0	199.78249780934374	201	40.0	216830.0
ERR5743893_1	95.2701104597036	39.0	184.19555141785975	221	30.0	198715.0
ERR5743893_2	94.06701893794244	39.0	168.27984389811024	201	30.0	198332.0
SRR13500958_1	89.88213642945101	38.0	239.7532713568519	251	40.0	73899.0
SRR13500958_2	87.59252493267839	38.0	240.10847237445702	251	40.0	73899.0
